churn,gender,level,timedelta,nb_unique_songs,nb_total_songs,nb_unique_artists,total_length,total_add_playlist,total_add_friend,total_thumbs_up,total_thumbs_down,total_ads,think_upgrade,has_upgraded,think_downgrade,has_downgraded,nb_404,Windows 8,iPad,iPhone,Macintosh,Linux,Unknown,Windows Vista,Windows 81,Windows XP,Windows Seven
1,1,1,77,945.0,1022.0,767.0,259349.8972600001,25.0,14.0,53.0,33.0,74.0,9.0,1.0,3.0,1.0,3.0,0,0,0,0,0,0,0,0,1,0
0,0,1,65,1570.0,1778.0,1205.0,443147.60183999996,49.0,25.0,92.0,14.0,1.0,0.0,0.0,14.0,0.0,2.0,0,0,0,0,0,0,0,0,0,1
0,0,1,54,245.0,250.0,223.0,63271.01815999999,5.0,13.0,7.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0
0,0,1,131,1335.0,1472.0,1071.0,364286.86247000005,46.0,23.0,66.0,16.0,0.0,1.0,1.0,15.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0
0,1,1,116,234.0,236.0,215.0,59019.778759999994,7.0,4.0,10.0,3.0,10.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0
0,1,1,96,3141.0,3847.0,2157.0,956838.1185800001,135.0,76.0,200.0,29.0,67.0,7.0,1.0,33.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0
0,1,1,133,534.0,559.0,454.0,141589.19309999995,16.0,10.0,29.0,6.0,5.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,0,1,126,440.0,455.0,389.0,114624.47292,11.0,7.0,26.0,6.0,30.0,2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1
1,0,1,63,1267.0,1409.0,1007.0,352855.68121000007,26.0,31.0,74.0,12.0,2.0,1.0,1.0,18.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1
1,1,0,28,47.0,47.0,47.0,14715.276609999995,1.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
0,1,1,148,1347.0,1484.0,1061.0,365434.7555,43.0,26.0,75.0,11.0,5.0,2.0,2.0,17.0,1.0,2.0,0,0,1,0,0,0,0,0,0,0
0,1,1,107,703.0,753.0,625.0,187334.52878,23.0,18.0,38.0,9.0,0.0,0.0,0.0,9.0,0.0,2.0,0,0,0,0,0,0,0,1,0,0
